filename,split
ILSVRC2012_val_00000524.JPEG,train
ILSVRC2012_val_00000203.JPEG,train
dragon_13142.png,train
dragon_09992.png,train
ILSVRC2012_val_00000030.JPEG,train
dragon_04692.png,train
ILSVRC2012_val_00000496.JPEG,train
ILSVRC2012_val_00000687.JPEG,train
ILSVRC2012_val_00000485.JPEG,train
ILSVRC2012_val_00000850.JPEG,train
dragon_15017.png,train
dragon_21892.png,train
dragon_23842.png,train
dragon_15367.png,train
dragon_18192.png,train
dragon_22617.png,train
dragon_14492.png,train
ILSVRC2012_val_00000833.JPEG,train
dragon_03292.png,train
dragon_06717.png,train
dragon_01892.png,train
ILSVRC2012_val_00000975.JPEG,train
dragon_16517.png,train
ILSVRC2012_val_00000465.JPEG,train
ILSVRC2012_val_00000263.JPEG,train
dragon_00342.png,train
dragon_11042.png,train
dragon_01392.png,train
dragon_23642.png,train
ILSVRC2012_val_00000456.JPEG,train
dragon_23442.png,train
ILSVRC2012_val_00000657.JPEG,train
dragon_14192.png,train
ILSVRC2012_val_00000711.JPEG,train
ILSVRC2012_val_00000375.JPEG,train
dragon_21542.png,train
dragon_16167.png,train
dragon_02342.png,train
ILSVRC2012_val_00000333.JPEG,train
ILSVRC2012_val_00000048.JPEG,train
dragon_11592.png,train
dragon_10192.png,train
ILSVRC2012_val_00000940.JPEG,train
ILSVRC2012_val_00000843.JPEG,train
dragon_08517.png,train
ILSVRC2012_val_00000258.JPEG,train
ILSVRC2012_val_00000771.JPEG,train
dragon_24417.png,train
ILSVRC2012_val_00000426.JPEG,train
dragon_05142.png,train
dragon_00567.png,train
dragon_12017.png,train
dragon_07967.png,train
dragon_16292.png,train
ILSVRC2012_val_00000490.JPEG,train
ILSVRC2012_val_00000807.JPEG,train
ILSVRC2012_val_00000584.JPEG,train
ILSVRC2012_val_00000181.JPEG,train
dragon_14517.png,train
ILSVRC2012_val_00000495.JPEG,train
ILSVRC2012_val_00000619.JPEG,train
dragon_04267.png,train
ILSVRC2012_val_00000487.JPEG,train
dragon_20767.png,train
dragon_13017.png,train
ILSVRC2012_val_00000112.JPEG,train
dragon_12242.png,train
ILSVRC2012_val_00000636.JPEG,train
dragon_18942.png,train
dragon_04567.png,train
dragon_00017.png,train
dragon_10842.png,train
dragon_15442.png,train
dragon_03542.png,train
ILSVRC2012_val_00000249.JPEG,train
ILSVRC2012_val_00000649.JPEG,train
ILSVRC2012_val_00000322.JPEG,train
ILSVRC2012_val_00000374.JPEG,train
dragon_13542.png,train
dragon_03917.png,train
ILSVRC2012_val_00000022.JPEG,train
dragon_20617.png,train
dragon_07817.png,train
dragon_16717.png,train
dragon_20567.png,train
ILSVRC2012_val_00000253.JPEG,train
ILSVRC2012_val_00000394.JPEG,train
dragon_16817.png,train
dragon_11642.png,train
dragon_17342.png,train
ILSVRC2012_val_00000171.JPEG,train
ILSVRC2012_val_00000474.JPEG,train
dragon_10042.png,train
dragon_02592.png,train
dragon_05442.png,train
ILSVRC2012_val_00000403.JPEG,train
ILSVRC2012_val_00000881.JPEG,train
dragon_03892.png,train
dragon_13517.png,train
dragon_22392.png,train
ILSVRC2012_val_00000252.JPEG,train
dragon_21917.png,train
dragon_07142.png,train
ILSVRC2012_val_00000760.JPEG,train
dragon_10542.png,train
ILSVRC2012_val_00000531.JPEG,train
dragon_03192.png,train
dragon_14167.png,train
dragon_07392.png,train
ILSVRC2012_val_00000272.JPEG,train
ILSVRC2012_val_00000907.JPEG,train
ILSVRC2012_val_00000784.JPEG,train
dragon_19467.png,train
ILSVRC2012_val_00000543.JPEG,train
dragon_21392.png,train
dragon_09017.png,train
dragon_19917.png,train
dragon_17942.png,train
ILSVRC2012_val_00000578.JPEG,train
dragon_24892.png,train
ILSVRC2012_val_00000900.JPEG,train
dragon_00592.png,train
ILSVRC2012_val_00000681.JPEG,train
ILSVRC2012_val_00000024.JPEG,train
dragon_03042.png,train
dragon_15067.png,train
dragon_14767.png,train
dragon_04617.png,train
